company,effective_date,location,number_of_workers
Schwan's,10/05/2020,"7471 e. 30 the street Yuma, AZ 86365",8
"Southwest Key Programs, Inc.",09/04/2020,"6002 Jain Lane Austin, TX 78721",20
Grand Canyon Scenic Airlines,09/03/2020,"1265 Airport Rd Boulder City, NV 89005",105
"VISTANA VACATION OWNERSHIP, INC",09/02/2020,"15620 North Clubgate Drive Scottsdale, AZ 85254",2
"VSE ARIZONA REALTY, INC.",09/02/2020,"15620 North Clubgate Drive Scottsdale, AZ 85254",58
"Live Nation Entertainment, Inc.",09/01/2020,"1375 N. Scottsdale Road, Ste 200 Scottsdale, AZ 85257",48
"Amadeus North America, Inc.",08/31/2020,"3530 E. Campo Abierto Tucson, AZ 85718",37
"Stellar Partners, Inc.",08/13/2020,"12750 Citrus Park Lane, Ste 120 Tampa, FL 33625",37
HMSHost (Phoenix-Mesa Gateway Airport),08/11/2020,"6033 S. Sossaman Rd. Ste 179 Mesa, AZ 85212",10
JCPenney,07/21/2020,"3501 E. Broadway Tucson, AZ 85714",69
Asarco Groupo Mexico,07/20/2020,"6094 N. Asarco Road, Hayden, AZ 85135",432
JCPenney,07/20/2020,"1727 W. Bethany Home Road Phoenix, AZ 85015",81
"American Airlines, Inc.",07/15/2020,"3400 East Sky Harbor Blvd Phoenix, AZ 85034",1367
ADESA/AFC,06/29/2020,"400 N Beck Avenue Chandler, AZ 85226",66
Kimpton Hotel Palomar Phoenix,06/23/2020,"2 E. Jefferson St Phoenix, AZ 85004",146
Tempe Mission Palms (Hyatt),06/19/2020,"60 East 5th St Tempe, AZ 85271",161
TASc,06/18/2020,"4016 N. Black Canyon Hwy Phoenix, AZ 85017",72
Andaz Scottsdale Resort & Bungalows (Hyatt),06/15/2020,"6114 N Scottsdale Rd Scottsdale, AZ 85253",56
Hyatt Regency Scottsdale Resort & Spa at Gainey Ra,06/12/2020,"7500 E. Doubletree Ranch Road Scottsdale, AZ 85258",408
The Royal Palms Resort and Spa,06/08/2020,"5200 East Camelback Road Phoenix, AZ 85018",147
Fairmont Scottsdale Princess,06/08/2020,"7575 Princess Dr. Scottsdale, AZ 85255",13
The Ritz-Carlton,06/05/2020,"15000 North Secret Springs Drive Marana, AZ 85658",350
The Westin Kierland Resort and Spa,06/05/2020,"6902 E. Greenway Pkwy Scottsdale, AZ 85254",720
The Westin Kierland Villas,06/05/2020,"15620 N Clubgate Drive Scottsdale, AZ 85254",123
The Scottsdale Resort at McCormick Ranch,06/05/2020,"7700 E. McCormick Parkway Scottsdale, AZ 85258",126
The Westin Phoenix Downtown,06/05/2020,"333 N Central Avenue Phoenix, AZ 85004",78
Scottsdale Marriott Old Yown,06/04/2020,"7325 E. 3rd Avenue Scottsdale, AZ 85251",75
The Sheraton Grand at Wild Horse Pass,06/03/2020,"5594 W. Wild horse Pass Blvd Chandler, AZ 85226",453
Phoenix Desert Ridege Resort & Spa (JW Marriott),06/03/2020,"5350 E. Marriott Drive Phoenix, AZ 85054",923
Camelback Inn Resort & Spa (JW Marriott),06/03/2020,"5402 E, Lincoln Dr. Scottsdale, AZ 85253",610
SW Hotels and Resorts WW llc,06/03/2020,"7277 East Camelback Rd Scottsdale, AZ 85251",128
The Phoenician,06/03/2020,"6000 E. Scottsdale Rd. Phoenix, AZ 85251",921
Sheraton Phoenix Downtown,06/02/2020,"340 North 3rd Street Phoenix, AZ 85022",341
Scottsdale Marriott at McDowell Mountains,06/02/2020,"16770 N Perimeter Drive Scottsdale, AZ 85260",122
Starr Pass Resort & Spa (JW Marriott),06/01/2020,"3800 W. Starr Pass Blvd Tucson, AZ 85745",657
Renaissance Phoenix Downtown Hotel,06/01/2020,"at 100 N 1st Street in Phoenix, Arizona, AZ 85004",207
Fruit Growers Supply,05/29/2020,"4136 E. 32nd St Yuma, AZ 85365",4
Loews Ventana Canyon Resort,05/29/2020,"7000 North Resort Drive Tucson, AZ 85750",272
PAE Government Services,05/28/2020,"MCAS Yuma, AZ 85365",88
Buck Stop,05/18/2020,"105 E. Malay Wilcox, AZ 86004",7
Pineapple Harmany (CPES),05/18/2020,"4805 E Speedway Tucson, AZ 85740",25
Nifty thrifty (CPES),05/18/2020,"326 S. Ocotillo Avenue Benson, AZ 86005",7
Renew (CPES),05/18/2020,"724 Pastime Tucson, AZ 85740",25
Aspire (CPES),05/18/2020,"5301 S McClintock Road Tempe, AZ 85282",17
Willow (CPES),05/18/2020,"2327 W. Campbell Ave Phoenix, AZ 85011",17
Loving hearts Thrift Store,05/18/2020,"222E. Baselline Rd Tempe, AZ 85282",17
Sunnyside market,05/18/2020,"775 E. Lander Drive Tucson, AZ 85740",25
FosterCare NAZ,05/18/2020,"3930 E. Ray Road, #201 Phoenix, AZ 85009",17
"Loving Hearts Foster Care (CPES)",05/18/2020,"4825 N Sabino Canyon Tucson, AZ 85750",25
"New 4 U (CPES)",05/18/2020,"947 N G Avenue Douglas, AZ 85850",7
Cedar Lane,05/18/2020,"408 West Main St, #1 Payson, AZ 85650",4
Dragoon,05/18/2020,"107 E. Malay Wilcox, AZ 85600",7
Concepts Crew (CPES),05/18/2020,"1250 Warehouse Tucson, AZ 85750",25
James River Insurance Company,05/15/2020,"14648 N. Scottsdale Road Suite 3 Scottsdale, AZ 85254",65
AmSafe,05/12/2020,"1043 N 47th Avenue Phoenix, AZ 85043",37
COX Automotive,05/08/2020,"4615 E. Elwood Street Suite 300 Phoenix, AZ 85040",48
Westin La Paloma Resort and Spa,05/08/2020,"3800 E. Sunrise Dr. Tucson, AZ 85718",50
Camby Hotel,05/07/2020,"2401 E Camelback Rd Phoenix, AZ 85021",184
Uber Technologies,05/07/2020,"201 E Washington ST Phoenix, AZ 85004",283
Arizona Nutritional Supplements,05/06/2020,"6850 West Morelos Place Chandler, AZ 85226",68
Arizona Grand Resort,05/04/2020,"8000 Arizona Grand Parkway Phoenix, AZ 85044",619
The Scott Resort and Spa,05/04/2020,"4925 N Scottsdale Rd Scottsdale, AZ 85251",123
LM Industries,05/01/2020,"1576 B. South Nelson Drive Chandler, AZ 85226",49
Bright (MHS),05/01/2020,"3103 E Broadway Rd, #400 Phoenix, AZ 85040",50
Embassy Suites by Hilton Scottsdale Resort,04/30/2020,"5001 N Scottsdale Rd Scottsdale, AZ 85250",110
Hertz,04/29/2020,"1805 E. Sky Harbor Cir S Phoenix, AZ 85034",50
The Antigua Group,04/24/2020,"16651 N 84th Avenue Peoria, AZ 85382",216
Vision Works,04/23/2020,"3111 W Chandler Blvd, Chandler, AZ 85226",188
"Tuesday Morning, Inc.",04/22/2020,"563 S. 63rd avenue Phoenix, AZ 85006",210
Lucille’s Smokehouse Bar-B-Que,04/20/2020,"2030 E. Rio Salado Parkway Tempe, AZ 85282",65
Hexcel,04/20/2020,"1214 W. Gila Bend Highway Casa Grande, AZ 85122",219
Huhtamaki,04/16/2020,"4320 S Cotton Ln Googyear, AZ 85338",145
"Tufesa USA, LLC",04/15/2020,"1614 N. 27th Ave Phoenix, AZ 85009",37
Open Door,04/15/2020,"6360 E. Thomas Road, Suite 200 Scottsdale, AZ 85251",145
Doubletree Suites by Hilton Phoenix,04/15/2020,"320 N 44th Street Phoenix, AZ 85008",150
Massage Envy,04/15/2020,"14350 N. 87th Street, Suite 200 Scottsdale, AZ 85260",27
Pink Adventure Tours,04/14/2020,"204 North State Route 89A, Sedona, AZ 86336",269
"Guess?, Inc",04/13/2020,"6800 N 95th Ave, Ste 100 Glendale, AZ 85305",41
GBT US LLC,04/13/2020,"14635 N Kierland Boulevard Scottsdale, AZ 85254",135
"Flying Food Group, LLC",04/10/2020,"7375 W. Buckeye Rd. Suite 106 Phoenix, AZ 85003",96
Prospect,04/09/2020,"3400 E Sky Harbor Phoenix, AZ 85034",154
Yelp,04/09/2020,"4343 N Scottsdale Rd Scottsdale, AZ 85251",375
Black Bear Diner,04/09/2020,"3530 W. Baseline Rd Laveen, AZ 85339",2137
Suit Supply,04/08/2020,"15257 N. Scottsdale Rd., Suite 200 Scottsdale, AZ 85254",9
Medieval Times Dinner & Tournament,04/08/2020,"9051 E. Via de Ventura, Scottsdale, Arizona 85258 Scottsdale, AZ 85258",195
Avis Budget,04/08/2020,"1805 E Sky Harbor Cir S Phoenix, AZ 85034",85
Cocopah indian Tribe,04/07/2020,"14515 S. Veteran Drive Somerton, AZ 85350",86
Cocopah Casino and Resort,04/07/2020,"15318 S. Ave B Somerton, AZ 85350",70
Mind Body,04/07/2020,"1355 North Scottsdale Road, 3rd Floor Ste. 350 Scottsdale, AZ 85257",91
Wild River Family Entertainment Center,04/07/2020,"15316 S. B Somerton, AZ 85350",35
Cocopah Bend RV Resort and Golf,04/07/2020,"6800 S. Strand Ave Yuma, AZ 85364",32
Estrellita Child Care center,04/07/2020,"2715 N 4th Ave San Luis, AZ 85336",4
Taylor farms,04/07/2020,"PO Box 1649 Salinas, CA 93902",407
Alsco,04/07/2020,"3231 South Florence Lane Yuma, AZ 85365",26
"IHG-Army Hotels, candlewood Suites",04/07/2020,"540 F. Street Yuma Proving grounds, AZ 85365",8
Page Elks Lodge 2498,04/06/2020,"806 Agua Ave, PO Box 1506 Page, AZ 86040",6
Paul Martin's American Grill,04/06/2020,"100 Spectrum Center Dr. Suite 1240 Irvine, CA 92618",79
Arizona Oncology Associates (ASUI),04/06/2020,"1760 E. River Rd suite 350 Tucson, AZ 85718",30
Benihana Scottsdale,04/05/2020,"16403 N Scottsdale Rd Scottsdale, AZ 85254",53
Benihana Chandler,04/05/2020,"3025 W. Chandler Blvd Chandler, AZ 85226",49
Benihana Mid town,04/05/2020,"3815 N Scottsdale Rd Scottsdale, AZ 85251",52
Benihana Ahwatukee,04/05/2020,"4921 E. Ray Rd Phoenix, AZ 85044",26
Sushi Tucson,04/05/2020,"2905 E. Skyline Dr. Tucson, AZ 85717",43
RA Mesa Corp,04/05/2020,"1652 S. Val Vista Dr. #101 Mesa, AZ 85204",40
RA Kierland Restaurant,04/05/2020,"13802 N Scottsdale Rd, Suite 176 Scottsdale, AZ 85254",44
civana,04/03/2020,"37220 N. Mule Train Rd. Carefree, AZ 85377",176
civana,04/03/2020,"37220 N. Mule Train Rd Carefree, AZ 85377",176
L'Auberge de Sedona,04/03/2020,"301 L'Auberge Lande Sedona, AZ 85600",147
The Orchards,04/03/2020,"254 N Hwy 89A Sedona, AZ 85600",50
Mindbody,04/03/2020,"1355 North Scottsdale Rd Suite 350 Scottsdale, AZ 85257",91
Hilton El Conquistador,04/03/2020,"1000 North oracle Road Tucson, AZ 85704",219
Evolution Hospitality,04/03/2020,"254 N Hwy 89a sedona, AZ 85325",150
Katerra,04/02/2020,"9305 e. Via de Ventura, Suite 200 Scottsdale, AZ 85258",49
Sanctuary Camelback,04/02/2020,"5700 E. McDonald Dr Phoenix, AZ 85014",321
Flagstaff DoubleTree,04/02/2020,"1175 W Route 66 Flagstaff, AZ 86001",85
Shamrock Farms,04/02/2020,"2540 N. 29th Avenue Phoenix, AZ 85009",228
Cinemark,04/01/2020,"1300 E. Tucson Marketplace Tucson, AZ 85713",292
SAS Restaurant Ventures (Denny's),03/31/2020,"2120 E. Cactus Rd Phoenix, AZ 85022",304
Holiday Inn Hotels,03/31/2020,"3842 W. 16th Steet Yuma, AZ 85364",21
HMSHost (Sky Harbor International Airport),03/31/2020,"1250 E. Hadley St. Suite 6 Phoenix, AZ 85034",523
McCormick Scottsdale,03/30/2020,"7421 N Scottsdale Rd Scottsdale, AZ 85253",65
Great Wolf Lodge,03/30/2020,"7333 North Pima Rd Scottsdale, AZ 85258",312
Specialty Textile,03/30/2020,"720 W. Buchanan St Phoenix, AZ 85007",176
Ahern Rentals Inc.,03/28/2020,"1403 S. Black Canyon Hwy Phoenix, AZ 85006",2
Residence Inn/Courtyard Phoenix Downtown,03/27/2020,"132 S. Central Ave Phoenix, AZ 85004",67
Taylor Farms,03/27/2020,"4375 Gila Ridge Rd Yuma, AZ 85666",407
Saddle Ranch Chop House,03/27/2020,"9375 W. Coyotes Blvd Glendale, AZ 85305",84
Zip Recruiter,03/27/2020,"604 Arizona Ave. Santa Monica, CA 90401",314
Papersource,03/27/2020,"2035 E. Camelback Rd. A14 Pheonix, AZ 85016",10
Drive Time,03/27/2020,"4515 E. Miami Avenue Phoenix, AZ 85040",54
Tanque Verde Ranch,03/27/2020,"14301 E Speedway Tucson, AZ 85748",147
ZF Passive Safety Systems US inc.,03/27/2020,"11202 E Germann Rd Mesa, AZ 85212",463
Drive Time,03/27/2020,"4515 E. Miami Avenue Phoenix, AZ 85040",62
Atrium Hospitality,03/26/2020,"9495 W. Coyotes Blvd Glendale, AZ 85305",140
Phoenix Glendale Renaissance,03/26/2020,"9495 W. Coyotes Blvd Glendale, AZ 85305",140
