company,effective_date,location,number_of_workers
"St. Partners, LLC",12/21/2019,"Gainesville, GA 30504",220
"Mount Vernon Mills, Inc.",03/09/2020,"Alto, GA 30510",600
Scandinavian Tobacco Group Lane Limited,03/17/2020,"Tucker, GA 30084",113
"Mahogany Interiors, LLC",02/01/2020,"Atlanta, GA 30318",2
Cox Corporate Service,03/31/2020,"Atlanta, GA 30326",81
"Shaw Industries Group, Inc. Plant 23",04/04/2020,"Dalton, GA 30721",275
Kindred Specialty Hospital LLC,04/06/2020,"Rome, GA 30165",78
Express Parcel Service LLC,04/12/2020,"Smyrna, GA 30082",74
Pacific Architects & Engineers (PAE),03/10/2020,"Albany, GA 31704",200
"ACTS-Aviation Security, Inc.",04/30/2020,"Atlanta, GA 30320",90
Concentrix,05/04/2020,"Savannah, GA 31419",139
Cincuenta llc,03/19/2020,"Atlanta, GA 30317",38
The Beginning Learning Center Inc.,03/16/2020,"Fort Valley, GA 31030",13
"Terri Woodward, Inc",03/23/2020,"Augusta, GA 30907",14
"Global Concessions, Inc.",03/16/2020,"Atlanta, GA 30337",100
"Global Concessions, II",03/16/2020,"Atlanta, GA 30337",100
"Pot Likker Creations, LLC",03/16/2020,"Atlanta, GA 30337",100
Firestone LLC,03/17/2020,"Newnan, GA 30263",36
Nails Creation & Spa,03/19/2020,"Buford, GA 30518",5
Piolax Corporation,03/23/2020,"Canton, GA 30114",359
"RB Jackson III, PC",03/23/2020,"Midway, GA 31320",25
Kale Me Crazy,03/19/2020,"Atlanta, GA 30305",15
Concord Cafe Inc,03/14/2020,"Concord, GA 30206",6
All Kids First,03/18/2020,"Norcross, GA 30071",31
"Dockside Fish, inc.",03/23/2020,"Savannah, GA 31401",20
The Peachtree Club,03/13/2020,"Atlanta, GA 30309",9
"Phoenix Art Projects,Inc.",03/20/2020,"ROSWELL, GA 30076",6
37th St Cooking Inc,03/22/2020,"Savannah, GA 31401",45
"Ranson, Inc",03/19/2020,"Macon, GA 31210",18
"Monikey, LLC",03/19/2020,"Bonaire, GA 31005",24
G. C. of Albany Inc.,03/19/2020,"Albany, GA 31707",71
"Black Diamond Grill and Grill, Inc",03/23/2020,"Cumming, GA 30041",38
Punch Bowl Social,03/16/2020,"Atlanta, GA 30339",173
Razor Sharp Recoreds South Inc.,03/17/2020,"Atlanta, GA 30340",1
Haven Manufacturing Corp,03/30/2020,"Brunswick, GA 31525",14
Crestline Hotels & Resorts,03/20/2020,"Atlanta, GA 30308",113
Crestline Hotels & Resorts,03/20/2020,"Atlanta, GA 30329",114
"Ramineni & Shepard, LLC",03/25/2020,"Marietta, GA 30067",21
XPO Logistics Supply Chain Headquarters,05/31/2020,"Fairburn, GA 30213",226
Airport Retail Management (ARM),03/13/2020,"Atlanta, GA 30349",196
Pinnacle Orthopaedics & Sports Medicine Specialists,03/25/2020,"Marietta, GA 30060",50
BJS ROASTERS,03/19/2020,"ATLANTA, GA 30324",10
"Golden Gate America East, LLC",03/22/2020,"College Park, GA 30337",378
R&J LUNCH BOX,03/21/2020,"KINGSLAND, GA 31548",15
"Gate Gourmet, Inc.",03/25/2020,"Atlanta, GA 30354",500
"Master Creations, Inc.",03/17/2020,"Atlanta, GA 30331",4
Old Town Trolley Tours,03/25/2020,"Savannah, GA 31415",168
The Krimson Kafe,03/21/2020,"Watkinsville, GA 30677",4
Salon de la Vie,03/21/2020,"Roswell, GA 30075",8
AJs Payroll Inc,03/18/2020,"Newnan, GA 30263",80
Baily International Inc,03/23/2020,"Waycross, GA 31502",148
"Divine Home Nursing, LLC",03/02/2020,"Cumming, GA 30041",9
"Absolute Entertainment, Inc",03/09/2020,"Milton, GA 30004",2
MAXIMUM SOLUTIONS GROUP LLC,03/18/2020,"Pooler, GA 31322",10
"Quixote Studios, LLC",03/20/2020,"Austell, GA 30168",10
"Quixote Studios, LLC",03/20/2020,"Atlanta, GA 30316",13
Personal Touch Salon,03/19/2020,"Gainesville, GA 30506",1
KAYBEE OF MACON INC,03/30/2020,"Macon, GA 31201",9
Hunt Enterprises LLC,03/19/2020,"DAHLONEGA, GA 30533",2
"America's Auto Auction Atlanta, Inc.",03/17/2020,"Cartersville, GA 30120",65
Carol's Pampered Pets,03/25/2020,"savannah, GA 31406",4
"Wencor Group, LLC",03/27/2020,"Peachtree City, GA 30269",176
CTC FAM LLC,03/24/2020,"Dunwoody, GA, GA 30338",1
new nails Salon,03/27/2020,"Vidalia, GA 30474",3
"Drive Time Car Sales Company, LLC",03/30/2020,"Stockbridge, GA 30281",128
PEG Smyrna Property LLC,03/23/2020,"Sm\, GA 30080",10
Paper Source,03/29/2020,"Alpharetta, GA 30009",10
Paper Source,03/29/2020,"Atlanta, GA 30306",11
Paper Source,03/29/2020,"Atlanta, GA 30326",8
"Ritchey Enterprises, Inc.",04/01/2020,"Athens, GA 30606",1
River Street Tavern Inc,03/24/2020,"Ellijay, GA 30540",29
Marriott Hotels & Resorts,03/16/2020,"Atlnta, GA 30345",107
M.D. Whitest Medical Institute,03/25/2020,"Cordele, GA 31015",7
NDC Family Care Inc,03/30/2020,"Loganville, GA 30052",3
GPC  Renovations,02/29/2020,"Monroe, GA 30655",20
Gigis Place Inc.,03/27/2020,"Covington, GA 30016",17
Jim n Nicks,03/16/2020,"Smyrna, GA 30080",41
Jim n Nick's,03/16/2020,"Hiram, GA 30141",38
"DAL Global Services, LLC",03/23/2020,"Hapeville, GA 30354",39
"Focus Brands, LLC",03/27/2020,"Atlanta, GA 30342",136
Gifted Creations Salon,03/25/2020,"Midway, GA 31320",2
Daniel DeReuter,03/22/2020,"Dalton, GA 30720",4
Prohibition,03/18/2020,"SAVANNAH, GA 31401",42
Alsco,03/25/2020,"Atlanta, GA 30340",117
Gutterglove South & Home Renovation,04/03/2020,"Marietta, GA 30066",22
"MEAT DONE RIGHT, LLC",03/24/2020,"GRAYSON, GA 30017",24
Barteca,03/21/2020,"Atlanta, GA 30342",84
Barteca,03/21/2020,"Atlanta, GA 30307",86
Barteca,03/21/2020,"Atlanta, GA 30318",58
"J ALLEN HENSON JR.,. DDS",04/01/2020,"Marietta, GA 30064",4
Carestream Dental LLC,04/06/2020,"Atlanta, GA 30339",196
Kai Kare LLC,03/16/2020,"Atlanta, GA 30305",34
nhtllc,03/30/2020,"greensboro, GA 30642",6
Crestline Hotels & Resorts,03/27/2020,"Peachtree Corners, GA 30092",48
"St Joseph Clinic, P.C.",04/06/2020,"DALTON, GA 30720",13
Emergency Dental Service LLC,04/01/2020,"Savannah, GA 31406",5
"G2 Secure Staff, LLC",03/27/2020,"Atlanta, GA 30354",122
Straight Line Roofing,04/02/2020,"Villa RIca, GA 30180",14
A Book Nook Inc,04/01/2020,"Decatur, GA 30033",17
IMP Mechanical LLC,03/12/2020,"Fayetteville, GA 30214",16
"The Martin-Brower Company, L.L.C.",04/07/2020,"East Point, GA 30349",84
"Austrian Motors, Ltd",03/02/2020,"Atlanta, GA 30318",5
Arizona's at Stonecrest,03/23/2020,"Lithonia, GA 30038",60
Coastal Center for Developmental Services,04/02/2020,"Savannah, GA 31406",132
Complete Preservation Services INC (CPS INC),03/20/2020,"LAGRANGE, GA 30241",1
Daiohs First Choice Coffee Service,03/26/2020,"norcross, GA 30071",5
hyacinta llc,03/10/2020,"lilburn, GA 30047",1
Alert Limited Partnership,03/13/2020,"Brunswick, GA 31521",1
handyman of villarica llc,03/31/2020,"villa rica, GA 30180",10
Walmart,01/03/2020,"Atlanta, GA 30349",20
RA Sushi Atlanta Midtown Corp.,04/02/2020,"Atlanta, GA 30309",94
Asbury Automotive,04/03/2020,"Alpharetta, GA 30009",5
Asbury Automotive,04/03/2020,"Alpharetta, GA 30009",16
Accounting & Tax Service of Rome,02/28/2020,"Rome, GA 30161",1
IH Services,03/27/2020,"Trion, GA 30753",46
Asbury Automotive,04/03/2020,"Atlanta, GA 30350",16
Asbury Automotive,04/03/2020,"Atlanta, GA 30360",26
Asbury Automotive,04/03/2020,"Cumming, GA 30041",13
Asbury Automotive,04/03/2020,"Decatur, GA 30033",59
Asbury Automotive,04/03/2020,"Lithonia, GA 30038",21
Asbury Automotive,04/03/2020,"Lithonia, GA 30038",19
Asbury Automotive,04/03/2020,"Lithonia, GA 30038",49
Asbury Automotive,04/03/2020,"Marietta, GA 30060",32
Asbury Automotive,04/03/2020,"Marietta, GA 30060",38
Asbury Automotive,04/03/2020,"Roswell, GA 30076",42
Asbury Automotive,04/03/2020,"Roswell, GA 30076",54
Asbury Automotive,04/03/2020,"Roswell, GA 30076",49
Asbury Automotive,04/03/2020,"Smyrna, GA 30080",64
Asbury Automotive,04/03/2020,"Union City, GA 30291",26
Asbury Automotive,04/03/2020,"Union City, GA 30291",36
Asbury Automotive,04/03/2020,"Union City, GA 30291",26
Benevis Dental Practice Management Services,03/23/2020,"marietta, GA 30067",158
Candler Road Dental PC,03/23/2020,"Marietta, GA 30067",175
"B&O Joint Venture, LLC",03/31/2020,"Glynco, GA 31520",100
Uncle Julios,03/19/2020,"Atlanta, GA 30309",73
North American Dental Group,03/23/2020,"New Castle, GA 16101",360
"Art Carpet, LLC",04/02/2020,"Chatsworth, GA 30705",10
Floor Covering Installation,04/11/2020,"CARTERSVILLE, GA 30120",2
Pinnacle Staffing,03/30/2020,"Villa Rica, GA 30180",50
Kelsey Hayes,03/23/2020,"Flowery Branch, GA 30542",386
"Suit Supply (USA), Inc",03/29/2020,"Atlanta, GA 30326",28
"Mindbody, Inc.",04/03/2020,"Atlanta, GA 30363",89
Beeline Canada Accessories,04/04/2020,"Atlanta, GA 30309",12
CR&G LLC,03/22/2020,"Dalton, GA 30720",22
MATCO INC,04/04/2020,"DALTON, GA 30722",20
"Direct Auction Services, LLC",03/20/2020,"Fairburn, GA 30213",58
My Stir Fry,03/18/2020,"Alpharetta, GA 30009",15
Larson-Juhl US LLC,03/31/2020,"Norcross, GA 30093",71
Big Daddy's Southern Cuisine,03/17/2020,"Atlanta, GA 30303",7
Prospect International Airport Services Corp.,03/18/2020,"Atlanta, GA 30320",113
"Beasley Media Group, LLC",04/01/2020,"Augusta, GA 30909",25
C3 Culinary Group LLC,03/02/2020,"Covington, GA 30016",10
Phelan Hallinan Diamond & Jones,03/27/2020,"Alpharetta, GA 30022",4
The Family Y of the CSRA,03/25/2020,"Augusta, GA 30907",165
The Family Y of the CSRA,03/25/2020,"Augusta, GA 30906",36
The Family Y of the CSRA,03/25/2020,"Augusta, GA 30901",20
The Family Y of the CSRA,03/25/2020,"Evans, GA 30809",57
The Family Y of the CSRA,03/25/2020,"WRENS, GA 30833",19
tHE FAMILY Y OF THE CSRA,03/25/2020,"GROVETOWN, GA 30813",48
THE FAMILYY OF THE CSRA,03/25/2020,"THOMSON, GA 30824",49
Apple American Group II LLC,04/13/2020,"Perry, GA 31069",54
IHG Army Hotels,04/03/2020,"Fort Benning, GA 31905",53
"Hooters of America, LLC",03/16/2020,"Atlanta, GA 30339",414
Tech Posse Inc,01/01/2020,"Acworth, GA 30102",7
"The Finish Line, Inc.",04/12/2020,"Athens, GA 30606",13
"The Finish Line, Inc.",04/12/2020,"Macon, GA 31206",10
"The Finish Line, Inc.",04/12/2020,"Douglasville, GA 30135",28
"The Finish Line, Inc.",04/12/2020,"Lithonia, GA 30038",19
Inspire Restaurant Group LLC,03/15/2020,"Atlanta, GA 30312",30
"The Finish Line, Inc.",04/12/2020,"Gainesville, GA 30501",12
"The Finish Line, Inc.",04/12/2020,"Centerville, GA 31028",21
"The Finish Line, Inc.",04/12/2020,"Commerce, GA 30529",18
"The Finish Line, Inc.",04/12/2020,"Lawrenceville, GA 30043",19
"The Finish Line, Inc.",04/01/2020,"Atlanta, GA 30326",31
"The Finish Line, Inc.",04/01/2020,"Atlanta, GA 30346",15
"The Finish Line, Inc.",04/01/2020,"Alpharetta, GA 30022",4
"The Finish Line, Inc.",04/01/2020,"Buford, GA 30519",12
"The Finish Line, Inc.",04/01/2020,"Augusta, GA 30909",5
"The Finish Line, Inc.",04/01/2020,"Savannah, GA 31406",2
"The Finish Line, Inc.",04/01/2020,"Kennesaw, GA 30144",9
"The Finish Line, Inc.",04/01/2020,"Atlanta, GA 30339",15
"The Finish Line, Inc.",04/01/2020,"Morrow, GA 30260",16
"The Finish Line, Inc.",04/12/2020,"Kennesaw, GA 30144",24
"The Finish Line, Inc.",04/12/2020,"Alpharetta, GA 30022",11
"The Finish Line, Inc.",04/12/2020,"Augusta, GA 30909",21
"The Finish Line, Inc.",04/12/2020,"Savannah, GA 31406",14
"The Finish Line, Inc.",04/12/2020,"Morrow, GA 30260",15
"The Finish Line, Inc.",04/12/2020,"Atlanta, GA 30339",30
"The Finish Line, Inc.",04/12/2020,"Burford, GA 30519",40
Aqua Salon and Spa LLC,03/28/2020,"Martinez, GA 30907",8
Stone Mountain Park,04/20/2020,"Stone Mountain, GA 30087",52
"Immediate Credit Recovery, Inc.",03/27/2020,"Kennesaw, GA 30144",145
Elite Comfort Solutions,04/08/2020,"Newnan, GA 30265",8
Elite Comfort Solutions,04/08/2020,"Newnane, GA 30265",1
Elite Comfort Solutions,04/08/2020,"Americus, GA 31719",2
Miguel Wilson Collection,03/18/2020,"Atlanta, GA 30326",10
Primrose School Franchising Company LLC,04/06/2020,"Atlanta, GA 30339",59
"Harlem Globetrotters International, Inc.",04/20/2020,"Peachtree Corners, GA 30092",175
Alion Science and Technology,04/30/2020,"Hanover, GA 21076",45
PCAM LLC,03/25/2020,"Atlanta, GA 30354",100
"Sysco Atlanta, LLC",03/27/2020,"College Park, GA 30337",176
Kathy and Company LLC,03/31/2020,"Kennesaw, GA 30152",3
Kabobs Acquisition  LLC,03/13/2020,"Lake City, GA 30260",175
Miller Ale House,03/21/2020,"Alpharetta, GA 30004",45
Augusta Sportswear Brands,03/23/2020,"Grovetown, GA 30813",141
Miller's Ale House,03/21/2020,"McDonough, GA 30253",110
SAGE MONTESSORI,04/01/2020,"MARIETTA, GA 30062",7
Mid Georgia Fire Safety,03/10/2020,"Eastman, GA 31023",4
InterContinental Buckhead Atlanta,03/23/2020,"Atlanta, GA 30326",210
Mt. Bailey Holdings LLC,03/23/2020,"Atlanta, GA 30309",109
Safran Aerosystems,04/03/2020,"Peachtree City, GA 30269",8
Crestline Hotels & Resorts,03/25/2020,"Peachtree Corners, GA 30092",91
Scholastic Book Fairs,03/16/2020,"Kennesaw, GA 30152",74
Crowne Plaza Atlanta Airport,03/20/2020,"Atlanta, GA 30344",57
Tower 3 Champions Retreat,03/26/2020,"Evans, GA 30809",45
"Southern Exposure Technical Services, LLC",04/27/2020,"Acworth, GA 30101",4
Stein Mart Distribution Center,03/31/2020,"Lithia Springs, GA 30122",121
Perry Lane Hotel,03/17/2020,"Savannah, GA 31401",100
"Greyhound Lines, Inc.",03/30/2020,"Atlanta, GA 30303",78
"NP Bay Ventures, LLC",03/20/2020,"Savannah, GA 31401",27
Gate Group,05/07/2020,"Atlanta, GA 30354",51
"Flotel II, Inc.",03/20/2020,"Savannah, GA 31401",32
"300 West Bay, LLC",03/20/2020,"Savannah, GA 31401",10
Integrity Transformations Community Dev Corp,04/20/2020,"Atlanta, GA 30318",3
Enterprise Holdings,04/30/2020,"College Park, GA 30337",73
Enterprise Holdings,04/30/2020,"Sandy Springs, GA 30328",110
Enterprise  Holdings,04/30/2020,"Norcross, GA 30093",232
Coral Hospitality-GA LLC,03/24/2020,"Helen, GA 30545",69
"Coral Hospitality-GA, LLC",03/24/2020,"Young Harris, GA 30582",173
"Coral Hospitality-GA, LLC",03/23/2020,"Fort Gaines, GA 39851",25
"Coral Hospitality-GA, LLC",03/23/2020,"Cordele, GA 31015",124
"Coral Hospitality-GA, LLC",03/23/2020,"McRae, GA 31037",26
"Coral Hospitality-GA, LLC",03/24/2020,"Dawsonville, GA 30534",59
Accurate reliable measurement,03/28/2020,"roberta, GA 31078",7
Select Medical,04/17/2020,"Atlanta, GA 30354",60
"Aludyne Columbus, LLC",04/27/2020,"Columbus, GA 31904",166
"Trophy & Gift Center, Inc.",04/27/2020,"Augusta, GA 30904",1
Retrospective Salon LLC,04/26/2020,"Acworth, GA 30101",1
The Hertz Corporation,04/14/2020,"College Park`, GA 30337",162
Gate Gourmet,05/07/2020,"Atlanta, GA 30354",392
Gate Gourmet,05/07/2020,"Atlanta, GA 30354",1429
Gate Gourmet,05/07/2020,"Atlanta, GA 30354",180
Asbury Automotive,04/03/2020,"Duluth, GA 30096",15
Asbury Automotive,04/03/2020,"Alpharetta, GA 30009",10
