company,effective_date,location,number_of_workers
Lansing Entertainment & Public Facilities Authority,"October 07, 2020","Lansing, MI",24
Select Specialty Hospital,"October 06, 2020","Muskegon, MI",80
Kroger,"October 02, 2020","Sturgis, MI",73
"Le Tote, Inc.","October 01, 2020","Novi, MI",46
SP Plus Corporation,"September 24, 2020","Detroit, MI",95
"Domtar Industries, Inc.","September 23, 2020","Port Huron, MI",200
P.F. Chang's China Bistro,"September 21, 2020"," Ann Arbor, Clinton Township, Dearborn, Grand Rapids, Lansing, Livonia, Rochester, and Troy, MI",600
Tenneco Powertrain,"September 17, 2020","Sparta, MI",121
Dave & Buster's - Livonia,"September 14, 2020","Livonia, MI",111
Booking.com,"September 14, 2020","Wyoming, MI",63
Dave & Buster's - Utica,"September 14, 2020","Utica, MI",119
Dave & Buster's - Kentwood,"September 14, 2020","Kentwood, MI",81
Greektown Casino-Hotel,"September 03, 2020","Detroit, MI",43
Orlans PC,"September 02, 2020","Troy, MI",60
UAW-Chrysler National Training Center,"September 01, 2020","Warren, MI",97
Avis Budget Group,"August 31, 2020"," Detroit, Flint, Freeland, Kalamazoo, Livonia and Traverse, MI",51
Aramark,"August 26, 2020","Warren, MI",128
Aimbridge Hospitality,"August 25, 2020","Ypsilanti, MI",6
LG Electronics Vehicle Components USA LLC,"August 24, 2020","Hazel Park, MI",
Ascension Technologies,"August 24, 2020","Troy, MI",223
"Vetta, LLC","August 21, 2020","Fowlerville, MI",73
"HMSHost - Grand Rapids Airport, Kent County Airport #772","August 17, 2020","Grand Rapids, MI",84
Maritz,"August 13, 2020","Southfield, MI",5
"Sky Chefs, Inc.","August 11, 2020","Detroit, MI",102
Detroit Metropolitan Airport,"August 10, 2020","Detroit, MI",6
ADESA Flint,"August 05, 2020","Flint, MI",40
"Cooper Standard Automotive, Inc.","August 03, 2020","Oscoda, MI",197
Hudson Group,"August 03, 2020","Detroit, MI",48
Spirit Airlines,"July 30, 2020","Detroit, MI",190
Infinity Primary Care,"July 30, 2020","Novi, MI",57
Marelli Automotive,"July 27, 2020","Clarkston, MI",263
YMCA of Greater Grand Rapids,"July 27, 2020","Grand Rapids, Lowell, Wyoming, Grandville, Belmont, Middleville, MI","1,021"
"VitalCare, Home Medical Equipment, Inc.","July 27, 2020","Cheboygan, Petoskey, Gaylord, MI",28
"VitalCare, Inc.","July 27, 2020","Cheboygan, Rogers City, Petoskey, MI",208
MotorCity Casino Hotel,"July 27, 2020","Detroit, MI","2,554"
