company,effective_date,location,number_of_workers
Company,LayoffDate(s),"City, OH",Potential NumberAffected
Schneider Electric,12/04/2020,"Independence, OH",13
Chick Master Incubator Company,01/01/2021-03/01/2021,"Medina, OH",70
"InterContinental Hotels Group Resources, LLC (IHG)(Crowne Plaza Columbus-Downtown)",11/30/2020,"Columbus, OH",49
Community Development Institute Head Start (CDI HS),10/31/2020,"Various Cities, OH",113
"SSA Group, LLC - Center of Science & Industry",03/29/2020,"Columbus, OH",47
"SSA Group, LLC - Cincinnati Museum Center",03/29/2020,"Cincinnati, OH",31
P.F. Chang's China Bistro,03/23/2020,"Dayton, OH",32
P.F. Chang's China Bistro,03/23/2020,"Cincinnati, OH",42
P.F. Chang's China Bistro,03/23/2020,"West Chester, OH",48
P.F. Chang's China Bistro,03/23/2020,"Maumee, OH",33
P.F. Chang's China Bistro,03/23/2020,"Akron, OH",32
P.F. Chang's China Bistro,03/23/2020,"Beachwood, OH",35
P.F. Chang's China Bistro,03/23/2020,"Dublin, OH",26
P.F. Chang's China Bistro,03/23/2020,"Columbus, OH",51
"Alutiiq Management Services, LLC (Dayton Job Corp Center)",11/30/2020,"Dayton, OH",121
"LAZ Parking Midwest, LLC",05/08/2020-05/10/2020,"Cleveland, OH",2
"LAZ Parking Midwest, LLC",09/02/2020,"Columbus, OH",2
"RCSH Operations, LLC (Ruth's Chris Steak House)",09/27/2020,"Cleveland, OH",47
Aramark Sinclair Community College,09/23/2020-10/01/2020,"Dayton, OH",63
"ABM, Inc. (Hertz)",10/04/2020,"Cleveland, OH",67
Hilton Management LLC - Columbus Downtown,08/28/2020,"Columbus, OH",42
"Lerner, Sampson & Rothfuss",03/20/2020,"Cincinnati, OH",90
International Exposition Center (I-X Center),09/16/2020,"Cleveland, OH",75
Hyatt Regency Columbus,06/20/2020-09/12/2020,"Columbus, OH",192
"Ascena Retail Group, Inc., Catherines, Inc., Catherines Stores Corporation, Lane Bryant, Inc., and Lane Bryant Purchasing Corp.",10/02/2020-11/08/2020,"Columbus, OH",190
"Arrow International, Inc.",04/10/2020,"Brooklyn, OH",171
"Tween Brands, Inc. and Ascena Retail Group, Inc.",10/02/2020-01/29/2021,"New Albany, OH",163
"Ascena Retail Group, Inc., Catherines, Inc., Catherines Stores Corporation, Lane Bryant, Inc., and Lane Bryant Purchasing Corp.",10/02/2020-10/30/2020,"Columbus, OH",186
Columbus Association for the Performing Arts (CAPA),03/17/2020-08/17/2020,"Columbus, OH",398
"Avis Budget Car Rental, LLC",04/04/2020-04/15/2020,"Various Cities, OH",101
Hyatt Regency Cincinnati,08/18/2020,"Cincinnati, OH",61
"Live Nation Entertainment, Inc.",04/24/2020-07/06/2020,"Cleveland, OH",76
"United Airlines, Inc. - Cleveland Hopkins International Airport",10/30/2020-11/30/2020,"Cleveland, OH",7
