company,effective_date,location,number_of_workers
Double Tree by Hilton,3/20/2020,"Allegheny, PA",68
"Le Tote, Inc","December 1, 2020 or during 14 day period beginning on that date","Montgomery, PA",68
Santander Bank,9/30/20,"Multiple, PA",18
DoubleTree Pittsburgh,3/20/2020,"Allegheny, PA",68
LSGgroup,10/1/2020,"Philadelphia, PA",25
Aramark at East Stroudsburg University,9/30/20,"Monroe, PA",112
Hudson,Allegheny,"Allegheny, PA",53
Double Tree Suites,8/26/20,"Montgomery, PA",24
JC Penney,10/18/20,"Allegheny, PA",82
Century 21,9/11/20 and 11/22/20,"Philadelphia, PA",55
Shop Vac Corporation,9/15/20 through 11/13/20,"Lycoming, PA",325
"Takeda Pharmaceuticals USA, Inc .",November 2020,"Chester, PA",170
P. F. Chang’s,March 2020,"Allegheny, PA",150
P. F. Chang’s,March 2020,"Montgomery, PA",150
P. F. Chang,March 2020,"Bucks, PA",75
P. F. Chang’s,March 2020,"Lancaster, PA",75
P. F. Chang’s,March 2020,"Delaware, PA",75
"Compass Group USA, Inc.","Oct 31, 2020","Monroe, PA",93
Flik Hospitality,11/18/2020,"Philadelphia, PA",unknown
American Limousine,9/19/20,"Delaware, PA",12
Gap Inc,10/14/20,"Philadelphia, PA",8
Sonesta Hotel Philadelphia,March 2020,"Philadelphia, PA",121
Gap Inc,11/30/20,"Philadelphia, PA",32
Aramark at LaSalle Univeristy,"August 31, 2020 (Union Employees), September 2,2020 (Non-Union Hourly Employees) and September 23,2020 (Non-Union Salaried Employees)","Philadelphia, PA",152
XPO Logistics,"November 23, 2020 through December 7, 2020","Luzerne, PA",111
IQE,Beginning End of 2021 through 2024,"Northampton, PA",100
"Frontier Airlines, Inc",10-01-20,"Philadelphia, PA",215
LSGgroup,10/01/20,"Philadelphia, PA",263
"Allpoints Trucking and Courier Services, Inc, dba Thruway Direct",10/2/20,"Bucks, Montgomery, Philadelphia, PA",204
"Taste, Inc",4/5/20,"Philadelphia, PA",unknown
Prime EFS LLC,10/3/20,"Bucks, PA",114
"XTL, Inc",10/16/20,"Philadelphia, PA",92
TLT Transportation,10/30/20,"Philadelphia, PA",80
"Courier Distribution Systems, LLC",10/16/20,"Allegheny, PA",64
"Courier Distribution  Systems, LLC",8/21/20,"Montgomery, PA",54
"Deliverol Global, Inc",8/7/20,"Bucks, PA",41
"The Vanguard Group, Inc",10/12/20,"Chester, PA",944
"Courier Distribution Systems, LLC",8/7/20,"Philadelphia, PA",60
Mercer Forge Corporation,Mid-August 2020,"Mercer, PA",131
Rivers Casino Philadelphia,7/10/20,"Philadelphia, PA",9
American Medical Depot,8/3/20,"Montgomery, PA",Unknown
"Sodexo, Inc at Vanguard","March - July 31, 2020","Chester, PA","88 (Permanent 72, Furlough 16)"
HMS Host,10/15/20,"Lancaster, PA",3
"Great Arrow Builders, LLC",3/18/20,"Beaver, PA",6000
