company,effective_date,location,number_of_workers
Comanche Peak Nuclear Station,10/5/2020,"Glen Rose, TX",142
The Expo Group Inc.,9/29/2020,"Irving, TX",114
Freeman Company-Davis St.,9/18/2020,"Dallas, TX",33
Freeman Audio Visual -San Antonio,9/18/2020,"San Antonio, TX",1
Freeman Company -San Antonio,9/18/2020,"San Antonio, TX",15
"Freeman Corporate, LLC",9/18/2020,"Dallas, TX",28
Freeman Digi Ventures,9/18/2020,"Dallas, TX",3
Freeman Digi Ventures-Davis St.,9/18/2020,"Dallas, TX",2
"Freeman Expositions, LLC",9/18/2020,"Dallas, TX",21
Freeman Expositions-Davis St.,9/18/2020,"Dallas, TX",20
Freeman Audio Visual,9/18/2020,"Dallas, TX",57
Freeman Company,9/18/2020,"Dallas, TX",83
Freeman Expositions,9/18/2020,"San Antonio, TX",34
Sur La Table Store 17,9/17/2020,"Houston, TX",10
P.F. Chang's -McAllen,9/17/2020,"McAllen, TX",75
P.F. Chang's -Waco,9/17/2020,"Waco, TX",75
"P.F. Chang's -Colony,TX",9/17/2020,"The Colony, TX",75
"P.F. Chang's -Allen,TX",9/17/2020,"Allen, TX",75
P.F. Chang's -Basse Rd,9/17/2020,"San Antonio, TX",75
Z Gallerie Store #68,9/4/2020,"Houston, TX",9
Z Gallerie Store #51,9/4/2020,"Dallas, TX",6
JC Penney - Plano2     (Collin Creek Mall),9/4/2020,"Plano, TX",144
SeaWorld of Texas LLC dba SeaWorld San Antonio dba Aquatica San Antonio,9/4/2020,"San Antonio, TX",242
Z Gallerie Store #17,9/4/2020,"Ft. Worth, TX",5
HPC Developer - Wild Oak Ranch Resort,9/2/2020,"San Antonio, TX",34
HV Global Mgmt Corp. - Wild Oak Ranch Resort,9/2/2020,"San Antonio, TX",66
HV Global Marketing Corp. - Wild Oak Ranch Resort,9/2/2020,"San Antonio, TX",1
Live Nation-Austin,9/1/2020,"Austin, TX",43
Live Nation-Pharr,9/1/2020,"Pharr, TX",253
Live Nation-Dallas,9/1/2020,"Dallas, TX",77
Live Nation-W Loop St,9/1/2020,"Houston, TX",51
Live Nation-Caroline St,9/1/2020,"Houston, TX",85
Avis Budget Car Rental,8/31/2020,"Austin, TX",3
Scoobeez - San Antonio,8/30/2020,"San Antonio, TX",63
Scoobeez Inc-Farmers Branch,8/28/2020,"Farmers Branch, TX",45
"Scoobeez, Inc.-Ft. Worth",8/28/2020,"Ft. Worth, TX",89
"Scoobeez, Inc.-Garland",8/28/2020,"Garland, TX",69
"Scoobeez, Inc.-Austin",8/28/2020,"Austin, TX",71
Avis Budget Car Rental-El Paso,8/28/2020,"El Paso, TX",12
"CEC Entertainment, Inc.",8/28/2020,"Irving, TX",95
SW Hotels-Westin Galleria,8/27/2020,"Dallas, TX",89
GEO Secure Services - Eagle Pass,8/27/2020,"Eagle Pass, TX",174
JW Marriot Resort and SPA - San Antonio,8/27/2020,"San Antonio, TX",461
Marriott Rivercenter Hotel,8/27/2020,"San Antonio, TX",237
Marriott Riverwalk,8/27/2020,"San Antonio, TX",45
Renaissance Dallas at Plano Legacy West Hotel,8/26/2020,"Plano, TX",66
Sheraton Gunter San Antonio,8/25/2020,"San Antonio, TX",38
Hilton-Austin,8/20/2020,"Austin, TX",77
"Exela Enterprise Solutions, LLC",8/20/2020,"Austin, TX",81
"Smith Industries, LLC",18-Aug-20,"Midland, TX",72
Rex Staffing LLC-Country Fresh Products,13-Aug-20,"Houston, TX",310
"IPIC Theaters, LLC",13-Aug-20,"Austin, TX",37
Yoga Works - Uptown,8/12/2020,"Houston, TX",24
HMS Host - San Antonio,8/12/2020,"San Antonio, TX",121
"Seadrill Americas, Inc.",8/11/2020,"Houston, TX",168
JC Penney - McAllen,8/5/2020,"McAllen, TX",137
The Briar Club,8/5/2020,"Houston, TX",23
"Expedia Group, Inc.",8/4/2020,"Dallas, TX",116
Hudson Group-Airport Mgt Services,7/31/2020,"Dallas, TX",81
Spirit,7/30/2020,"DFW Airport, TX",238
Wyndham - San Antonio,7/30/2020,"San Antonio, TX",139
"Wyndham Revere, LLC",7/29/2020,"Dallas, TX",52
CWT,7/28/2020,"San Antonio, TX",102
Wyndhgam Vacation Ownership,7/27/2020,"Austin, TX",81
Brennan's of Houston,7/27/2020,"Houston, TX",90
Hector Garza Center,7/23/2020,"San Antonio, TX",140
Hilton - Plano,7/23/2020,"Plano, TX",105
Visionworks #86,7/23/2020,"San Antonio, TX",9
Visionworks #32,7/23/2020,"Midland, TX",3
Printpack,7/21/2020,"Orange, TX",58
Sodexo - San Antonio,7/20/2020,"San Antonio, TX",319
BJ Services - San Antonio,7/19/2020,"San Antonio, TX",195
JC Penney - Lewisville,7/17/2020,"Lewisville, TX",87
Jc Penney-Dallas,7/17/2020,"Dallas, TX",89
Hilton Anatole,7/17/2020,"Dallas, TX",620
Spirit AeroSystems Inc.,7/16/2020,"San Antonio, TX",72
ASARCO- Amarillo Refinery,7/16/2020,"Amarillo, TX",213
Visionworks #262,7/16/2020,"Round Rock, TX",8
"Exterran Energy Solutions, LP - Houston",7/16/2020,"Houston, TX",174
JC Penney - Plano,7/16/2020,"Plano, TX",717
Electro Rent,7/13/2020,"Roanoke, TX",2
Basic Energy Services-Denver City,7/10/2020,"Denver City, TX",102
"Basic Energy Services - Big Spring, TX",7/10/2020,"Big Spring, TX",114
Transform SR LLC #45446,7/10/2020,"Dallas, TX",57
C. Baldwin Hotel - Curio Collection by Hilton,7/9/2020,"Houston, TX",144
Visionworks #120,7/9/2020,"Katy, TX",2
Pilot Thomas Logistics - Midland,7/9/2020,"Midland, TX",56
C. Baldwin Hotel - Curio Collection by Hilton,7/9/2020,"Houston, TX",144
Visionworks #120,7/9/2020,"Katy, TX",2
Pilot Thomas Logistics - Midland,7/9/2020,"Midland, TX",56
Dallas Fort Worth International,7/8/2020,"Dallas, TX",71
"Borusan Mannesmann Pipe U.S., Inc.",7/8/2020,"Baytown, TX",114
Transocean Deepwater Inc.- Discover Inspiration,7/7/2020,"Houston, TX",110
"GSC Wholesale, LLC dba Grocers Supply",7/3/2020,"Houston, TX",90
Brident-Westheimer Rd,02-Jul-20,"Houston, TX",6
Brident-Broadway,02-Jul-20,"Houston, TX",4
Brident-Long Point RD,02-Jul-20,"Houston, TX",3
Brident-Tidwell Rd,02-Jul-20,"Houston, TX",3
Brident-Edgebrook Dr,02-Jul-20,"Houston, TX",2
Brident-E. Fwy,02-Jul-20,"Houston, TX",2
Brident-W Camp Widsom,02-Jul-20,"Dallas, TX",4
Brident-Crosstimbers,02-Jul-20,"Houston, TX",2
Brident-Greens Rd,02-Jul-20,"Houston, TX",1
Brident-Airline Dr.,02-Jul-20,"Houston, TX",3
Brident-Gulf Fwy,02-Jul-20,"Houston, TX",5
Brident-SW Military,02-Jul-20,"San Antonio, TX",5
Brident-W. Bellfort Ave,02-Jul-20,"Houston, TX",5
Brident-8706 Fredericksburg,02-Jul-20,"San Antonio, TX",1
Brident-W Commerce,02-Jul-20,"San Antonio, TX",3
Brident-3655 Fredericksburg,02-Jul-20,"San Antonio, TX",1
Brident-2000 SE. Loop,02-Jul-20,"San Antonio, TX",1
Brident-Bellaire bBlvd,02-Jul-20,"Houston, TX",5
Electro Rent,01-Jul-20,"Roanoke, TX",3
The Lycra Co.,30-Jun-20,"La Porte, TX",79
PCC Wyman Gordon,30-Jun-20,"Houston, TX",10
Hard Rock Café-San Antonio,29-Jun-20,"San Antonio, TX",138
Spire Hospitality-Embassy Suites,26-Jun-20,"Laredo, TX",58
PV Fluid Products Inc.,25-Jun-20,"Houston, TX",113
Kimpton Hotel,25-Jun-20,"Austin, TX",180
Van Vleck Paint Shop,22-Jun-20,"Bay City, TX",10
Clute Fabrication Shop,22-Jun-20,"Clute, TX",46
Bradshaw State Jail,22-Jun-20,"Henderson, TX",229
