company,effective_date,location,number_of_workers,2020
OEMMCCO Inc.,03/31/2020,"Kenosha, WI",49,2020
Semco Windows and Doors,12/31/2019,"Merrill, WI",141,2020
Eastek Automated Circuit,03/31/2020,"Menomonee Falls, WI",36,2020
FPM Heat Treating,04/01/2020,"Milwaukee, WI",27,2020
Marquis Yachts,03/01/2020,"Pulaski, WI",344,2020
US Bank,04/06/2020,"Milwaukee, WI",62,2020
Compass Group,03/31/2020,"Neenah, WI",30,2020
"IDEXX Distribution, Inc.",05/01/2020,"Marshfield, WI",38,2020
"IDEXX Distribution, Inc.",05/01/2020,"Waukesha, WI",13,2020
Riddell Sports Group Inc.,04/10/2020,"Sun Prairie, WI",109,2020
Bear Down Logistics Central,04/13/2020,"Sussex, WI",95,2020
Black Horse Carriers Inc.,02/24/2020,"Pewaukee, WI",68,2020
Cascio Music Co. Inc.,04/20/2020,"New Berlin, WI",71,2020
Knueppel Healthcare Services Inc.,04/30/2020,"West Allis, WI",44,2020
"Everbrite, LLC",04/27/2020,"Milwaukee, WI",116,2020
Hutchinson Technology Inc.,05/16/2020,"Eau Claire, WI",112,2020
Punch Bowl Social,03/16/2020,"Milwaukee, WI",91,2020
"Sub-Zero Group, Inc.",03/22/2020,"Fitchburg, WI",1043,2020
Tower Clock Eye Center,05/18/2020,"Green Bay, Manitowoc, Oconto, Shawano, WI",75,2020
Holiday Inn Convention Center Stevens Point,03/21/2020,"Stevens Point, WI",143,2020
Visual Impressions Inc,03/20/2020,"Milwaukee, WI",41,2020
"Big Dot of Happiness, LLC",03/18/2020,"Menomonie, WI",57,2020
Stroh Die Cast LLC,05/16/2020,"Mauston, WI",71,2020
Wisconsin Central School Bus,03/16/2020,"Milwaukee, WI",90,2020
Wisconsin Central School Bus,03/16/2020,"New Richmond, WI",48,2020
Clearwing Production Inc.,03/16/2020,"Milwaukee, WI",25,2020
Hyatt Regency Milwaukee,03/16/2020,"Milwaukee, WI",112,2020
Mickeys Linen and Towel Supply Inc,03/18/2020,"Milwaukee, WI",48,2020
Black Shoe Hospitality,03/16/2020,"Milwaukee, WI",155,2020
Eddie Martini's Enterprises,03/17/2020,"Wauwatosa, WI",30,2020
Park Hotel Inc.,03/22/2020,"Madison, WI",120,2020
HMS Host Corporation,03/20/2020,"Milwaukee, WI",120,2020
Holiday Inn & Suites Wausau Rothschild,03/24/2020,"Rothschild, WI",60,2020
The Edgewater Management Company,03/18/2020,"Madison, WI",202,2020
Hospitality Democracy LLC,03/16/2020,"Milwaukee, WI",234,2020
Kettle Moraine YMCA,03/17/2020,"West Bend, Port Washington, WI",700,2020
Take 5 Oil Change,03/22/2020,"Baraboo, Bellevue, Brookfield, Brown Deer, Cedarburg, Crivitz, De Pere, Fitchburg, Glendale, Green Bay, Hales Corner, Hartford, Kenosha, Merrill, Milwaukee, Mukwonago, New Berlin, New London, Oak Creek, Racine, Reedsburg, Sheboygan, Sun Prairie, Waukesha, Wauwatosa, West Allis, Wisconsin Rapids, WI",140,2020
Schroeder Moving Systems,03/30/2020,"New Berlin, WI",29,2020
MicroStar Quality Services,03/27/2020,"Green Bay, WI",44,2020
Altitude Trampoline Park,03/17/2020,"Appleton, WI",67,2020
Great Lakes Services LLC,04/03/2020,"Madison, WI",24,2020
Great Lakes Services LLC,04/02/2020,"Madison, WI",69,2020
The Coopers Tavern,03/17/2020,"Madison, WI",70,2020
Hubbard Avenue Diner,03/17/2020,"Middleton, WI",65,2020
Cento Restaurant LLC,03/17/2020,"Madison, WI",78,2020
Everly and Miko Poke,03/17/2020,"Madison, WI",68,2020
Fresco Restaurant,03/17/2020,"Madison, WI",43,2020
Catering A Fresco,03/17/2020,"Madison, WI",68,2020
Tex Tubb's Taco Place,03/17/2020,"Madison, WI",43,2020
Johnny Delomonico's,03/17/2020,"Madison, WI",34,2020
Discovery Culinary Collaborative LLC,03/17/2020,"Madison, WI",55,2020
Avenue Club,03/17/2020,"Madison, WI",49,2020
Eldorado Grill,03/17/2020,"Madison, WI",47,2020
Luigi's Pizzeria,03/17/2020,"Madison, WI",34,2020
DLUX,03/17/2020,"Madison, WI",49,2020
Canteen,03/17/2020,"Madison, WI",42,2020
Bar Corallini,03/17/2020,"Madison, WI",27,2020
Monty's Blue Plate Diner,03/17/2020,"Madison, WI",54,2020
Market Street Diner,03/17/2020,"Sun Prairie, WI",45,2020
Craftsman Table and Tap,03/17/2020,"Middleton, WI",49,2020
Bassett Street Brunch Club,03/17/2020,"Madison, WI",62,2020
Spectra Food Services and Hospitality,03/26/2020,"Green Bay, WI",49,2020
Paper Source,03/29/2020,"Brookfield, WI",9,2020
Paper Source,03/29/2020,"Glendale, WI",9,2020
Paper Source,03/29/2020,"Madison, WI",13,2020
Great Lakes Services,03/16/2020,"Baraboo, WI",247,2020
"Schulte Hospitality Group, Inc.",03/16/2020,"Milwaukee, WI",30,2020
Collegiate Hotel Group,03/16/2020,"Madison, WI",63,2020
"Schwaab, Inc.",03/24/2020,"Brookfield, WI",42,2020
Rexnord Industries LLC,06/05/2020,"Grafton, WI",140,2020
"Stateline Boys and Girls Clubs, Inc",03/30/2020,"Beloit, WI",28,2020
Reynolds Machine Company,03/24/2020,"New Berlin, WI",36,2020
Data Dimensions  ,05/29/2020,"Janesville, WI",260,2020
Stateline Family YMCA,03/16/2020,"Beloit, WI",200,2020
"SSA Group, LLC  ",03/29/2020,"Milwaukee, WI",319,2020
Delavan Lake Resort,03/16/2020,"Delavan, WI",11,2020
Lake Lawn Resort,03/16/2020,"Delevan, WI",305,2020
YMCA of the Northwoods,03/17/2020,"Rhinelander, WI",109,2020
Cinemark USA Inc.,03/26/2020,"Kenosha, WI",51,2020
California Pizza Kitchen,03/22/2020,"Glendale, WI",36,2020
FeraDyne Outdoors,03/25/2020,"Superior, WI",226,2020
Stevens Point YMCA,03/18/2020,"Stevens Point, WI",324,2020
AJLS Enterprises Inc.,04/03/2020,"Madison, WI",56,2020
PlayMonster LLC,04/06/2020,"Beloit, WI",31,2020
Bartaco,03/21/2020,"Madison, WI",67,2020
"Chandler Exhibits, Inc.",03/25/2020,"Hudson, WI",34,2020
Bernick's,04/01/2020,"Dresser, Superior, WI",25,2020
Caleres Inc,03/20/2020,"Port Washington, WI",213,2020
Caleres/Woodlore Manufacturing,03/20/2020,"Port Washington, WI",28,2020
Gray & Associates,04/03/2020,"New Berlin, WI",28,2020
La Crosse Area Family YMCA  ,03/18/2020,"La Crosse, Onalaska, WI",562,2020
eImprovement LLC,04/30/2020,"Pleasant Prairie, WI",60,2020
PC/Nametag Inc.,04/06/2020,"Verona, WI",46,2020
Spectra Food Services and Hospitality,03/26/2020,"Baraboo, WI",172,2020
Chapter 2 Inc.,04/03/2020,"Lake Mills, WI",26,2020
"Van's Supply & Equipment, Inc.",03/29/2020,"Green Bay, WI",37,2020
YMCA of Greater Waukesha County,03/17/2020,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago, WI",1100,2020
YMCA of Dodge County,03/16/2020,"Beaver Dam, WI",89,2020
Uncle Julio's,03/19/2020,"Brookfield, WI",93,2020
Woodson YMCA,03/17/2020,"Wausau, WI",300,2020
Geneva Lakes Family YMCA,03/17/2020,"Lake Geneva, WI",117,2020
"Hobby Lobby Stores, Inc.",03/25/2020,"Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend, WI",639,2020
Greater Green Bay YMCA,03/15/2020,"Green Bay, Brussels, Suring, WI",829,2020
Manitowoc-Two Rivers YMCA,04/06/2020,"Manitowoc, WI",219,2020
Advanced Pain Management,05/01/2020,"Greenfield, WI",50,2020
Pace Industries,03/20/2020,"Grafton, WI",381,2020
YMCA of the Chippewa Valley,03/19/2020,"Chippewa Falls, Eau Claire, New Auburn, WI",557,2020
Abercrombie & Fitch,04/12/2020,"Appleton, La Crosse, Wauwatosa, WI",123,2020
Prospect International Airport Services Corp.,04/22/2020,"Milwaukee, WI",48,2020
Tetra PAK Processing Equipment Inc.,07/03/2020,"Windsor, WI",39,2020
Meetings and Incentives Worldwide Inc,03/05/2020,"Caledonia, WI",15,2020
Server Products Inc,03/30/2020,"Richfield, WI",53,2020
American Greetings,03/23/2020,"Statewide, WI",153,2020
Glacial Community YMCA,03/16/2020,"Oconomowoc, Watertown, WI",542,2020
Patientpop,03/27/2020,"Menasha, WI",1,2020
"Hooters of America, LLC",03/16/2020,"Madison, Brookfield, WI",61,2020
Scholastic,03/18/2020,"Milwaukee, WI",53,2020
Safran Aerosystems Services Americas LLC,04/14/2020,"Menomonee Falls, WI",29,2020
Nordstrom Inc.,04/05/2020,"Madison, Wauwatosa, WI",218,2020
YMCA of Northern Rock County,03/27/2020,"Janesville, Milton, WI",142,2020
"Bars & Recreation, Inc.",03/30/2020,"Milwaukeee, WI",38,2020
LSC Communications,04/20/2020,"Baraboo, WI",393,2020
Ashley Furniture Industries Inc.,04/16/2020,"Whitehall, WI",70,2020
Milwaukee Center for Independence,04/30/2020,"Milwaukee, WI",128,2020
The Finish Line,04/12/2020,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa, WI",131,2020
The Finish Line Macy's,04/02/2020,"Wauwatosa, WI",3,2020
Baker Manufacturing Company LLC,04/20/2020,"Evansville, WI",49,2020
Goodwill,04/16/2020,"Ashland, Superior, WI",20,2020
